x,y,label
3115.330882352941,6385.952205882353,cardiac muscle myoblast
2746.2589641434265,5333.342629482072,cardiac muscle myoblast
6098.91011235955,5887.61797752809,immature innate lymphoid cell
6180.217647058824,5802.441176470588,immature innate lymphoid cell
5855.569506726458,1211.8699551569507,fibroblast of cardiac tissue
2590.6363636363635,7483.488636363636,cardiac muscle myoblast
2505.036303630363,2465.013201320132,cardiac muscle myoblast
8394.281609195403,6825.810344827586,fibroblast of cardiac tissue
5659.662251655629,3605.986754966888,fibroblast of cardiac tissue
2947.5389221556884,6084.005988023952,cardiac endothelial cell
8379.912751677852,4691.885906040268,cardiac endothelial cell
2315.5406976744184,7347.133720930233,cardiac muscle myoblast
5454.399014778325,5155.04433497537,fibroblast of cardiac tissue
3156.655,7945.165,cardiac muscle myoblast
7660.529166666666,3997.9791666666665,cardiac endothelial cell
7731.524137931035,6312.627586206897,fibroblast of cardiac tissue
5288.0625,1199.4921875,fibroblast of cardiac tissue
2771.7470817120625,2331.758754863813,fibroblast of cardiac tissue
2630.7926267281105,7885.184331797235,cardiac muscle myoblast
2756.7616438356163,5996.690410958904,cardiac endothelial cell
8106.083333333333,3071.050505050505,cardiac muscle myoblast
6951.395161290323,5016.6612903225805,fibroblast of cardiac tissue
1064.74531835206,5634.756554307116,fibroblast of cardiac tissue
7912.018475750578,3603.609699769053,cardiac muscle myoblast
8532.013333333334,6918.86,fibroblast of cardiac tissue
1273.5612648221345,4217.683794466403,fibroblast of cardiac tissue
3036.939024390244,1447.8861788617887,cardiac muscle myoblast
3807.5619047619048,4467.6,cardiac muscle myoblast
2639.427609427609,4700.791245791246,neuronal receptor cell
3119.160747663552,1477.945794392523,cardiac muscle myoblast
1757.603076923077,7537.36,fibroblast of cardiac tissue
6508.598484848485,4786.613636363636,fibroblast of cardiac tissue
8403.770562770564,5211.090909090909,cardiac muscle myoblast
2883.8899521531102,6795.177033492823,cardiac muscle myoblast
1657.5434782608695,7745.173913043478,cardiac muscle myoblast
7951.196808510638,7091.914893617021,fibroblast of cardiac tissue
6126.901234567901,2678.4979423868317,cardiac endothelial cell
5537.7018469657,2915.796833773087,cardiac muscle myoblast
7271.2,1989.470731707317,fibroblast of cardiac tissue
6538.3708609271525,4623.841059602649,fibroblast of cardiac tissue
4331.223844282238,3663.868613138686,pericyte
4393.468619246862,2483.610878661088,cardiac muscle myoblast
8141.561728395061,7399.240740740741,cardiac endothelial cell
4588.48951048951,1739.527972027972,fibroblast of cardiac tissue
2407.234146341463,7998.078048780488,cardiac muscle myoblast
3252.0299401197603,5358.269461077844,fibroblast of cardiac tissue
5910.643564356436,4790.784653465346,fibroblast of cardiac tissue
4747.125,7136.870967741936,fibroblast of cardiac tissue
6093.042016806723,3510.823529411765,cardiac muscle myoblast
3132.2285714285717,6896.657142857143,fibroblast of cardiac tissue
